ID	Pe	Time	Y
30	30	8	96.4150186
31	31	8	46.0240186
32	32	8	56.2280186
33	33	8	91.4600186
34	34	8	60.7300186
35	35	8	59.6303519
36	36	8	73.3460186
37	37	8	55.8875186
38	38	8	74.6180186
39	39	8	45.9253519
40	40	8	62.1976853
41	41	8	65.6801853
42	42	8	69.3190186
43	43	8	85.8873519
44	44	8	63.4953519
45	45	8	80.2553519
46	46	8	62.8875186
47	47	8	59.3240186
48	48	8	82.5755186
49	49	8	65.2843519
50	50	8	62.7670186
51	51	8	64.3413519
52	52	8	81.3763519
53	53	8	78.8280186
54	54	8	73.6458519
55	55	8	78.4446853
56	56	8	56.3990186
57	57	8	44.7680186
58	58	8	64.5640186
59	59	8	56.2723519
60	60	8	69.7223519
61	61	8	53.2546853
62	62	8	55.8240186
63	63	8	62.8355186
64	64	8	88.7626853
65	65	8	87.2556853
66	66	8	67.7896853
67	67	8	50.6605186
68	68	8	47.6110186
69	69	8	74.8610186
70	70	8	81.4976853
71	71	8	57.2860186
72	72	8	58.9506853
73	73	8	65.1576853
74	74	8	87.8600186
75	75	8	78.4695186
76	76	8	54.3390186
77	77	8	80.0676853
78	78	8	49.1313519
79	79	8	57.2843519
80	80	8	58.9823519
81	81	8	73.3781853
82	82	8	58.5145186
83	83	8	87.9246853
84	84	8	65.2970186
85	85	8	51.5380186
86	86	8	54.4568519
87	87	8	66.0840186
88	88	8	52.5313519
89	89	8	50.4156853
1	1	9	87.5956428
2	2	9	75.9193095
3	3	9	66.9073095
4	4	9	61.4486428
5	5	9	59.4279762
6	6	9	82.3899762
7	7	9	53.1763095
8	8	9	71.4376428
9	9	9	86.3523095
10	10	9	72.3923095
11	11	9	72.9963095
12	12	9	89.3541428
13	13	9	65.6299762
14	14	9	88.6749762
15	15	9	54.0349762
16	16	9	78.4046428
17	17	9	89.5149762
18	18	9	54.6953095
19	19	9	58.7943095
20	20	9	77.7686428
21	21	9	91.3403095
22	22	9	91.9594762
23	23	9	91.0313095
24	24	9	79.3233095
25	25	9	91.0893095
26	26	9	82.5393095
27	27	9	63.9329762
28	28	9	61.4876428
29	29	9	107.9624762
30	30	9	112.2043095
31	31	9	54.0489762
32	32	9	69.3583095
33	33	9	109.1763095
34	34	9	70.9319762
35	35	9	69.8576428
36	36	9	86.2758095
37	37	9	64.3371428
38	38	9	84.9186428
39	39	9	55.9946428
40	40	9	74.2091428
41	41	9	78.1059762
42	42	9	85.0986428
43	43	9	105.3219762
44	44	9	78.6319762
45	45	9	92.0833095
46	46	9	76.5184762
47	47	9	72.1123095
48	48	9	101.1843095
49	49	9	78.3193095
50	50	9	76.3203095
51	51	9	76.1596428
52	52	9	97.6793095
53	53	9	92.9023095
54	54	9	85.0688095
55	55	9	93.4583095
56	56	9	65.6359762
57	57	9	55.5793095
